"title_vec"	"p_value"	"TransmissionRate"	"adj_p_value"	"p_value_sq"	"adj_p_value_sq"	"TotalKernelFull"	"TotalKernelEnds"
"Y62-2x1_inference.xml"	0.00026416566203899	0.538961038961039	0.184915963427293	0.00128034334129592	0.457772907977872	462	427
"Y86-4x1.xml"	0.000770144108499477	0.509954058192956	0.269550437974817	0.00196188389133374	0.457772907977872	653	576
"Y15-4x1_inference.xml"	0.00200722863538753	0.544747081712062	0.358912538507065	0.00943909194412955	0.707554087208507	514	469
"X498-5x402_inference.xml"	0.00205092879146894	0.524822695035461	0.358912538507065	0.00163009497851912	0.457772907977872	282	257
"Y56-4x1_inference.xml"	0.00426719257488949	0.52	0.595348661812533	0.0188959676355847	0.799418879304032	575	543
"A230-5x102_inference.xml"	0.00525973661967341	0.449392712550607	0.595348661812533	0.0183033486987877	0.799418879304032	247	222
"Y15-2x1_inference.xml"	0.00643438892877912	0.559055118110236	0.595348661812533	0.0240554245282111	0.837152741044972	508	461
"Y75-1x1_inference.xml"	0.00821761441951594	0.556016597510373	0.595348661812533	0.0328208270771172	0.861077323794592	482	433
"B540-1x2_inference.xml"	0.008445325195499	0.536121673003802	0.595348661812533	0.0194144584973836	0.799418879304032	526	471
"Y41B-1x1_inference.xml"	0.00850498088303618	0.536263736263736	0.595348661812533	0.0339171807156699	0.861077323794592	455	413
"Y40-2x1_inference.xml"	0.0117463404052761	0.503030303030303	0.718287539536402	0.0450038223634813	0.861077323794592	495	457
"A31-1x102_inference.xml"	0.0132998295464536	0.512048192771084	0.718287539536402	0.0334023651706475	0.861077323794592	498	456
"Y38-3x1_inference.xml"	0.0133396257342475	0.534979423868313	0.718287539536402	0.0442643688717261	0.861077323794592	486	436
"Y32-5x1_inference.xml"	0.0159682704645433	0.476987447698745	0.753668450354771	0.0215653622963267	0.825692001827898	478	437
"A14-1x102_inference.xml"	0.0163529038860377	0.543165467625899	0.753668450354771	0.0520816126243853	0.861077323794592	278	261
"A225-1x102_inference.xml"	0.0180321785509248	0.50765306122449	0.753668450354771	0.0380630241562436	0.861077323794592	392	363
"Y231-2x1_inference.xml"	0.0192604595969618	0.518664047151277	0.753668450354771	0.00725217500069391	0.707554087208507	509	459
"X418-2x402_inference.xml"	0.0193800458662655	0.553030303030303	0.753668450354771	0.0493818822070576	0.861077323794592	132	124
"Y49-4x1_inference.xml"	0.0228819376160236	0.54375	0.824595780178307	0.0585763764475645	0.861077323794592	480	448
"X489-4x402_inference.xml"	0.0235598794336659	0.5	0.824595780178307	0.0537045146688427	0.861077323794592	136	126
"Y80-1x1_inference.xml"	0.0250984593861468	0.467836257309941	0.83661531287156	0.0839483482997518	0.861077323794592	513	463
"Y269-4x2_inference.xml"	0.0264483964806021	0.511578947368421	0.841539888019159	0.0779582808694317	0.861077323794592	475	429
"Y44-3x1_inference.xml"	0.0307407344041719	0.517777777777778	0.911000542305	0.0585695524989762	0.861077323794592	450	402
"B775B-2x2_inference.xml"	0.0312343043076	0.508045977011494	0.911000542305	0.100950365998021	0.881954591789371	435	381
"Y60A-3x1_inference.xml"	0.033444779076537	0.488584474885845	0.936453814143035	0.112289794120669	0.923585338981007	438	405
"Y89-11x1_inference.xml"	0.0372444314983199	0.50968992248062	0.953183311522978	0.0187135565721962	0.799418879304032	516	467
"Y35-4x1_inference.xml"	0.0403024780675658	0.5042194092827	0.953183311522978	0.129903216845008	0.923585338981007	474	422
"A29-2x102_inference.xml"	0.0425824557258707	0.478753541076487	0.953183311522978	0.134085136734621	0.923585338981007	353	322
"X491L-2x402_inference.xml"	0.0426047300529279	0.474541751527495	0.953183311522978	0.134771735389527	0.923585338981007	491	458
"Y85-6x1_inference.xml"	0.0438535911789516	0.52605459057072	0.953183311522978	0.0717450410645272	0.861077323794592	403	371
"Y22A-1x1_inference.xml"	0.0444344434207049	0.491452991452991	0.953183311522978	0.143179041592012	0.927404175584542	468	429
"Y232-5x1_inference.xml"	0.0457500811597431	0.488425925925926	0.953183311522978	0.103314680752469	0.881954591789371	432	401
"Y204-1x1_inference.xml"	0.0473775577014816	0.484444444444444	0.953183311522978	0.149414071241053	0.927404175584542	450	415
"B562-2x2_inference.xml"	0.0483506600494368	0.502752293577982	0.953183311522978	0.0813340610509716	0.861077323794592	545	496
"Y74G-3x1_inference.xml"	0.0499659176253803	0.485587583148559	0.953183311522978	0.156233778177476	0.927404175584542	451	417
"A21-5x102_inference.xml"	0.054483443397014	0.513317191283293	0.953183311522978	0.0845917563578033	0.861077323794592	413	371
"Y59-4x1_inference.xml"	0.0585613619585423	0.475274725274725	0.953183311522978	0.0654006677774632	0.861077323794592	364	325
"A24-5x102_inference.xml"	0.062686109567405	0.453183520599251	0.953183311522978	0.0144391026366138	0.799418879304032	267	245
"Y206-3x1_inference.xml"	0.0631473414988029	0.511013215859031	0.953183311522978	0.10157999737293	0.881954591789371	454	421
"Y11-4x1_inference.xml"	0.0635811696041106	0.483193277310924	0.953183311522978	0.186096522533355	0.927404175584542	476	435
"X445-4x402_inference.xml"	0.0638497752704863	0.512269938650307	0.953183311522978	0.0587394343530296	0.861077323794592	326	320
"Y73-5x1_inference.xml"	0.0647394885002676	0.621827411167513	0.953183311522978	0.0980746368611755	0.881954591789371	394	362
"Y270-3x1_inference.xml"	0.0651724182050693	0.52317880794702	0.953183311522978	0.196737586981007	0.927404175584542	453	418
"Y80-3x1_inference.xml"	0.0688186130206057	0.5	0.953183311522978	0.200668900446827	0.927404175584542	468	421
"Y82-13x1_inference.xml"	0.0699459605761396	0.482758620689655	0.953183311522978	0.179175886551227	0.927404175584542	377	344
"Y41B-4x1_inference.xml"	0.0717211718283182	0.555891238670695	0.953183311522978	0.176103563031862	0.927404175584542	331	303
"X4-4x400L_inference.xml"	0.0722725452171857	0.483221476510067	0.953183311522978	0.209175790092188	0.942303269466229	298	267
"A16-1x102_inference.xml"	0.0736565382118447	0.501766784452297	0.953183311522978	0.102254768538213	0.881954591789371	283	268
"Y206G-1x1_inference.xml"	0.0739551564431155	0.503740648379052	0.953183311522978	0.215195182830894	0.942303269466229	401	377
"Y25-3x1_inference.xml"	0.0742686085744848	0.517857142857143	0.953183311522978	0.160540475715662	0.927404175584542	504	452
"Y36-4x1_inference.xml"	0.0745350104007254	0.551236749116608	0.953183311522978	0.13100739753946	0.923585338981007	283	258
"Y16-4x1_inference.xml"	0.0780779774522294	0.518433179723502	0.953183311522978	0.185124910373274	0.927404175584542	434	394
"Y45-3x1_inference.xml"	0.0792757785388297	0.47834274952919	0.953183311522978	0.0632679022216826	0.861077323794592	531	478
"A38-7x102_inference.xml"	0.0798591635077084	0.514066496163683	0.953183311522978	0.0971744181813717	0.881954591789371	391	359
"X440L-2x402_inference.xml"	0.0815812042394094	0.51931330472103	0.953183311522978	0.0318606828629251	0.861077323794592	233	216
"Y38-2x1_inference.xml"	0.0820070876470615	0.514869888475836	0.953183311522978	0.134511016165069	0.923585338981007	538	500
"Y331AL-2x1_inference.xml"	0.0826257912518985	0.503012048192771	0.953183311522978	0.152896274046425	0.927404175584542	332	308
"A30-5x102_inference.xml"	0.0835566331532321	0.494252873563218	0.953183311522978	0.17670635697544	0.927404175584542	522	481
"Z257-1x1_inference.xml"	0.085175349673469	0.529080675422139	0.953183311522978	0.218143064471711	0.942303269466229	533	479
"X492-1x402_inference.xml"	0.0851969021757212	0.516377649325626	0.953183311522978	0.241260810938592	0.967389420544696	519	480
"Z262-1x1_inference.xml"	0.0864841741593546	0.477647058823529	0.953183311522978	0.0861261631149319	0.861077323794592	425	392
"A23-1x102_inference.xml"	0.0878012107803665	0.494219653179191	0.953183311522978	0.0762557875842307	0.861077323794592	346	314
"Y41B-6x1_inference.xml"	0.0886859967320135	0.497142857142857	0.953183311522978	0.249184856795039	0.967389420544696	525	474
"A14-4x102_inference.xml"	0.0893881384737697	0.546174142480211	0.953183311522978	0.251024308511705	0.967389420544696	379	349
"Y74-1x1_inference.xml"	0.0894998943221684	0.530120481927711	0.953183311522978	0.13231652478233	0.923585338981007	498	451
"Z81-2x1_inference.xml"	0.0904327563130191	0.484276729559748	0.953183311522978	0.210193485678792	0.942303269466229	318	292
"X423-2x402_inference.xml"	0.0922544077047964	0.511904761904762	0.953183311522978	0.14856277526219	0.927404175584542	168	152
"Z265-1x1_inference.xml"	0.0938904672703958	0.504477611940298	0.953183311522978	0.249300674659867	0.967389420544696	335	304
"B777A-4x2.xml"	0.093956640707265	0.56140350877193	0.953183311522978	0.165176713747444	0.927404175584542	57	46
"A35-3x102_inference.xml"	0.0956449543752829	0.51207729468599	0.95644954375283	0.262660834205354	0.967389420544696	414	381
"Y232-3x1_inference.xml"	0.0993335538212537	0.489224137931034	0.979344896829262	0.265223739057292	0.967389420544696	464	421
"Y84-5x1_inference.xml"	0.104292362688447	0.52027027027027	0.987025561767753	0.266112669805302	0.967389420544696	444	405
"Y200-1x1_inference.xml"	0.105602347165484	0.52755905511811	0.987025561767753	0.282632815348991	0.967389420544696	381	349
"A277-2x102_inference.xml"	0.105729792513492	0.51975051975052	0.987025561767753	0.278212310715244	0.967389420544696	481	446
"X446L-2x402_inference.xml"	0.105752738760831	0.522546419098143	0.987025561767753	0.283843092196083	0.967389420544696	377	347
"A228-4x102.xml"	0.11332938258965	0.524691358024691	0.989972281273887	0.0673203995912019	0.861077323794592	324	294
"Y53-2x1_inference.xml"	0.11680187587102	0.544412607449857	0.989972281273887	0.303817909155608	0.967389420544696	349	309
"X435-5x402_inference.xml"	0.116935468426775	0.518159806295399	0.989972281273887	0.100374144004864	0.881954591789371	413	378
"B562-4x2_inference.xml"	0.11924351622651	0.459948320413437	0.989972281273887	0.146563789776771	0.927404175584542	387	349
"A24-7x102_inference.xml"	0.120678209162404	0.466472303206997	0.989972281273887	0.26094013734823	0.967389420544696	343	323
"X456-2x402_inference.xml"	0.122524957434929	0.46031746031746	0.989972281273887	0.283046209161917	0.967389420544696	126	116
"Y81-3x1_inference.xml"	0.123581561842603	0.497816593886463	0.989972281273887	0.201321993763118	0.927404175584542	458	436
"A252-1x102_inference.xml"	0.125178378698329	0.495468277945619	0.989972281273887	0.15294033323772	0.927404175584542	331	313
"X468A-5x402_inference.xml"	0.125379465060392	0.483660130718954	0.989972281273887	0.0712546868459966	0.861077323794592	306	278
"B778A-1x2_inference.xml"	0.126057770430049	0.479452054794521	0.989972281273887	0.16870368723255	0.927404175584542	365	327
"B751-3x2_inference.xml"	0.12715178692642	0.56734693877551	0.989972281273887	0.305484581440021	0.967389420544696	245	221
"Y85-1x1_inference.xml"	0.128588519371017	0.546816479400749	0.989972281273887	0.315763453419	0.967389420544696	534	479
"A35-4x102_inference.xml"	0.131281783612855	0.528189910979229	0.989972281273887	0.312761371366081	0.967389420544696	337	312
"A227-6x3.xml"	0.134616506044607	0.524154589371981	0.989972281273887	0.1949766983833	0.927404175584542	414	383
"Y204-2x1_inference.xml"	0.134623579922876	0.512141280353201	0.989972281273887	0.318757851686852	0.967389420544696	453	415
"X434-1x402.xml"	0.134865369874021	0.524390243902439	0.989972281273887	0.268157073139457	0.967389420544696	82	73
"X4-6x402_inference.xml"	0.138026410725456	0.481662591687042	0.989972281273887	0.0551100610001664	0.861077323794592	409	384
"X424L-3x402_inference.xml"	0.140448422093602	0.52851711026616	0.989972281273887	0.223350612544608	0.953325785251374	263	249
"Y72-3x1_inference.xml"	0.141149719611984	0.523595505617978	0.989972281273887	0.0513806920643469	0.861077323794592	445	407
"Y83-1x1_inference.xml"	0.141972542149415	0.51214953271028	0.989972281273887	0.0866097578661469	0.861077323794592	535	481
"A227-7x102_inference.xml"	0.143274182256741	0.484472049689441	0.989972281273887	0.29441290661492	0.967389420544696	322	311
"A33-2x102_inference.xml"	0.14351408455283	0.516129032258065	0.989972281273887	0.334547687696743	0.967389420544696	434	392
"Z240A-6x1_NEW_inference.xml"	0.143930355706802	0.544692737430168	0.989972281273887	0.0496242338473746	0.861077323794592	358	325
"Y13A-1x1_inference.xml"	0.144752276276181	0.542190305206463	0.989972281273887	0.113760784488026	0.923585338981007	557	512
"X463AL-1x402_inference.xml"	0.14570402755688	0.413173652694611	0.989972281273887	0.361342070706399	0.967389420544696	334	311
"Y25-2x1_inference.xml"	0.147097210658542	0.508510638297872	0.989972281273887	0.197241763272242	0.927404175584542	470	426
"X487A-1x402_inference.xml"	0.148614778566281	0.497512437810945	0.989972281273887	0.318262306219562	0.967389420544696	402	373
"X471A-2x402_inference.xml"	0.150550139488067	0.496296296296296	0.989972281273887	0.365940964732309	0.967389420544696	270	262
"X417-2x402_inference.xml"	0.155318381535528	0.574468085106383	0.989972281273887	0.37869382814939	0.967389420544696	188	172
"A33-5x102_inference.xml"	0.157891430805863	0.522352941176471	0.989972281273887	0.28832771859684	0.967389420544696	425	387
"X432-5x402_inference.xml"	0.161958476061894	0.576576576576577	0.989972281273887	0.200119567500442	0.927404175584542	111	102
"Z252-1x1_inference.xml"	0.164178100662574	0.541871921182266	0.989972281273887	0.393957533779218	0.967389420544696	406	373
"Y75-4x1_inference.xml"	0.166273899168809	0.527659574468085	0.989972281273887	0.149899321586927	0.927404175584542	470	426
"A223-3x102_inference.xml"	0.168403659969228	0.507246376811594	0.989972281273887	0.257157382659684	0.967389420544696	276	251
"X3-6x402_inference.xml"	0.169035909437821	0.5	0.989972281273887	0.388521427318397	0.967389420544696	312	287
"Y62-3x1_inference.xml"	0.169540848339789	0.471783295711061	0.989972281273887	0.172855909131404	0.927404175584542	443	408
"Y37-1x1.xml"	0.170510154641825	0.486842105263158	0.989972281273887	0.391890846646371	0.967389420544696	532	489
"Y84-3x1_inference.xml"	0.170567033426832	0.548133595284872	0.989972281273887	0.243673807594415	0.967389420544696	509	454
"A21-2x102_inference.xml"	0.172763375763048	0.48876404494382	0.989972281273887	0.0631659999646497	0.861077323794592	356	332
"Y44-2x1_inference.xml"	0.173119064890605	0.497942386831276	0.989972281273887	0.0633381849292528	0.861077323794592	486	452
"Z205-1x1_inference.xml"	0.17319434208763	0.531468531468531	0.989972281273887	0.390621620906788	0.967389420544696	286	260
"X451A-1x402_inference.xml"	0.173780844494006	0.503649635036496	0.989972281273887	0.37058221860482	0.967389420544696	137	130
"A221-3x102_inference.xml"	0.17560140912228	0.494866529774127	0.989972281273887	0.289731448583639	0.967389420544696	487	470
"Y73G-2_x1_inference.xml"	0.177456904534239	0.494117647058824	0.989972281273887	0.343466168462052	0.967389420544696	340	314
"B711-4x2_inference.xml"	0.178122540207622	0.509756097560976	0.989972281273887	0.369636187669317	0.967389420544696	410	373
"X463A-3x402_inference.xml"	0.178594605612707	0.514957264957265	0.989972281273887	0.232676405105306	0.967389420544696	468	433
"Y64-4x1_inference.xml"	0.180127454691281	0.530864197530864	0.989972281273887	0.416650073319754	0.967389420544696	324	291
"Y41B-2x1_inference.xml"	0.182626400850402	0.483558994197292	0.989972281273887	0.392854251791076	0.967389420544696	517	491
"X481AL-1x402.xml"	0.183118903962272	0.549295774647887	0.989972281273887	0.316692590153738	0.967389420544696	71	63
"Y87-5x1_inference.xml"	0.184730253805495	0.550724637681159	0.989972281273887	0.299904463438533	0.967389420544696	483	434
"Y32-2x1_inference.xml"	0.185583401393461	0.476404494382022	0.989972281273887	0.420538698225766	0.967389420544696	445	405
"X434L-1x402_inference.xml"	0.1861850045397	0.55421686746988	0.989972281273887	0.405904767011612	0.967389420544696	166	150
"A227-2x102.xml"	0.188653691151401	0.488272921108742	0.989972281273887	0.193523863940083	0.927404175584542	469	425
"A31-4x102_inference.xml"	0.189111383291427	0.519230769230769	0.989972281273887	0.38685124817758	0.967389420544696	312	277
"A25A-_x102_inference.xml"	0.189170974111698	0.503875968992248	0.989972281273887	0.418282507765672	0.967389420544696	387	354
"X456L-3x402_inference.xml"	0.190672067424546	0.496598639455782	0.989972281273887	0.437215534166952	0.968782919435044	147	132
"Z255-1x1.xml"	0.190812812544135	0.48780487804878	0.989972281273887	0.367539699541236	0.967389420544696	123	115
"X447-3x402_inference.xml"	0.19213232104374	0.495798319327731	0.989972281273887	0.408464346733084	0.967389420544696	357	344
"X441L-3x402_inference.xml"	0.192399065221856	0.492063492063492	0.989972281273887	0.00923081699755707	0.707554087208507	252	237
"X494-4x402_inference.xml"	0.196066551407039	0.50462962962963	0.989972281273887	0.367586093425208	0.967389420544696	432	398
"A40-3x102_inference.xml"	0.199375148130151	0.5	0.989972281273887	0.0885679533045866	0.861077323794592	442	413
"A50-1x102_inference.xml"	0.202558872624404	0.508771929824561	0.989972281273887	0.245956083862051	0.967389420544696	399	370
"Y231-5x1_inference.xml"	0.202793178647968	0.501298701298701	0.989972281273887	0.170582445815821	0.927404175584542	385	353
"Y53-4x1_inference.xml"	0.203760108202916	0.463730569948187	0.989972281273887	0.424558539654233	0.967389420544696	386	360
"Y37-5x1.xml"	0.203983278471339	0.481884057971014	0.989972281273887	0.0922842305941728	0.878251918339682	276	256
"Y66-10x1_inference.xml"	0.204497869975386	0.492574257425743	0.989972281273887	0.428461521685763	0.967389420544696	404	376
"Y69-5x1_inference.xml"	0.204582294294673	0.517453798767967	0.989972281273887	0.415963260399344	0.967389420544696	487	448
"X432L-3x402_inference.xml"	0.20737643247329	0.445026178010471	0.989972281273887	0.44361595631307	0.973451941752818	191	183
"Y50G-7x1_inference.xml"	0.209201735403493	0.487124463519313	0.989972281273887	0.255337378891042	0.967389420544696	466	427
"Y32-1x1_inference.xml"	0.213181568402366	0.531413612565445	0.989972281273887	0.454502577795063	0.978941552889941	382	352
"Y70-1x1_inference.xml"	0.215122382333935	0.475409836065574	0.989972281273887	0.456395942281068	0.978941552889941	488	447
"A223-5x102_inference.xml"	0.215146670958278	0.524361948955916	0.989972281273887	0.375618154377638	0.967389420544696	431	391
"A90-2x102.xml"	0.217114705925203	0.563636363636364	0.989972281273887	0.382075962694828	0.967389420544696	275	258
"Y63-2x1_inference.xml"	0.218243263195616	0.49244060475162	0.989972281273887	0.163349562502863	0.927404175584542	463	422
"X426L-2x402_inference.xml"	0.22522566347473	0.488235294117647	0.989972281273887	0.339605282151963	0.967389420544696	170	160
"B538-6x2_inference.xml"	0.22724182533269	0.537671232876712	0.989972281273887	0.118319927603171	0.923585338981007	292	265
"Y73G-1_x1_inference.xml"	0.23501481924757	0.485074626865672	0.989972281273887	0.504512279694342	0.988335357989696	402	371
"Y70-3x1_inference.xml"	0.235483055474303	0.51409978308026	0.989972281273887	0.118747201993437	0.923585338981007	461	428
"Y80-6x1_inference.xml"	0.235596407699293	0.470842332613391	0.989972281273887	0.442154975948748	0.973297116868314	463	407
"X479A-1x402_inference.xml"	0.236039448163531	0.444055944055944	0.989972281273887	0.462318704800939	0.981213502546689	286	258
"X478A-3x402_inference.xml"	0.236247944810663	0.472573839662447	0.989972281273887	0.391631389504992	0.967389420544696	237	216
"X572A-4x400_inference.xml"	0.238896495062645	0.501901140684411	0.989972281273887	0.3853490082154	0.967389420544696	526	470
"Y48A-4x1_inference.xml"	0.239022698353994	0.497663551401869	0.989972281273887	0.437407237597558	0.968782919435044	428	390
"Y87-8x1_inference.xml"	0.239305219873169	0.500978473581213	0.989972281273887	0.190186478358019	0.927404175584542	511	471
"A277-3x102_inference.xml"	0.24104056626788	0.528619528619529	0.989972281273887	0.30952278807471	0.967389420544696	594	549
"X435-1x402_inference.xml"	0.241578036428549	0.544052863436123	0.989972281273887	0.517756254467608	0.988335357989696	454	419
"Y10-7x1_inference.xml"	0.241929405523413	0.513853904282116	0.989972281273887	0.496635023950899	0.98806696329283	397	354
"Z251-1x1_inference.xml"	0.242076288453053	0.555023923444976	0.989972281273887	0.481475516194334	0.982475847743477	418	384
"X421-1x402_inference.xml"	0.243335039863333	0.454022988505747	0.989972281273887	0.500632582741948	0.988335357989696	348	324
"B753-2x2_inference.xml"	0.243741737212727	0.491279069767442	0.989972281273887	0.38083704770177	0.967389420544696	344	295
"Y232-4x1_inference.xml"	0.244018863596817	0.509846827133479	0.989972281273887	0.47872240341735	0.982475847743477	457	407
"A252-3x102_inference.xml"	0.244814136559365	0.559819413092551	0.989972281273887	0.483216234113579	0.982475847743477	443	403
"X450-1x402_inference.xml"	0.245606863861288	0.556053811659193	0.989972281273887	0.511962999543608	0.988335357989696	223	206
"Y75-2x1_inference.xml"	0.245871378553746	0.508438818565401	0.989972281273887	0.168371010544615	0.927404175584542	474	434
"Y50G-6x1_inference.xml"	0.246088140713645	0.540816326530612	0.989972281273887	0.351167140671996	0.967389420544696	392	356
"Y84-1x1_inference.xml"	0.246338596233779	0.492957746478873	0.989972281273887	0.128902309053213	0.923585338981007	426	383
"Y63-5x1_inference.xml"	0.247743534291063	0.510928961748634	0.989972281273887	0.525606156440205	0.988335357989696	366	340
"A280-2x102_inference.xml"	0.24903296538534	0.460966542750929	0.989972281273887	0.273803278187995	0.967389420544696	269	261
